游戏排名,游戏名称,游戏厂商,游戏评分,游戏分类,游戏标签,数据
56,小小法师（测试版）,厂商: Never Late Studio,8.6,休闲,"Roguelike,单机,竖屏",140986 人关注
57,策魂三国,厂商: 冰锥工作室,5,策略,"三国,战棋,策略",44676 人安装 156432 人关注
58,仙境传说RO：守护永恒的爱,厂商: 心动网络,7.1,角色扮演,"MMORPG,二次元,联机",5512349 人安装 1001163 人关注
59,失落的真理魔典,厂商: 杭州浩游科技有限公司,8.1,卡牌,"战棋,策略,卡牌",62383 人安装 64071 人关注
60,古代人生,厂商: 万匠游戏,8.1,文字,"养成,单机,模拟",719644 人关注
61,像素时代,厂商: 纵艺科技,9.7,模拟,"社交,像素,沙盒",14094 人预约 14783 人关注
62,天地劫：幽城再临,厂商: 紫龙游戏,9.1,角色扮演,"武侠,战棋,角色扮演",414772 人预约 415671 人关注
63,密室逃脱绝境系列9无人医院,厂商: 深圳市火星人互动娱乐有限公司,8.8,益智,"儿童保护,恐怖,TapTap独家",89858 人安装 159658 人关注
64,一念逍遥,厂商: 雷霆游戏,6.8,角色扮演,"修仙,放置,挂机",216926 人预约 220174 人关注
65,摩尔庄园,厂商: 雷霆游戏,9.6,休闲,"童年,休闲,联机",1123318 人预约 1165193 人关注
66,妙奇星球,厂商: 套鹿工作室,9.7,休闲,"收集,放置,休闲",138361 人预约 150795 人关注
