游戏排名,游戏名称,游戏厂商,游戏评分,游戏分类,游戏标签,游戏数据
225,遇见逆水寒 CN,厂商: 网易游戏,6.8,角色扮演,"恋爱,养成,乙女",514792 人安装 286799 人关注
226,流星群侠传 CN,厂商: 网易游戏,5.9,动作,"武侠,联机,动作",720996 人关注
227,众生游,厂商: 边境工作室,8.7,模拟,"真实模拟,养成,高自由度",235608 人关注
228,妙连千军,厂商: 套鹿工作室,7.4,策略,"竖屏,消除,Roguelike",131234 人关注
229,模拟帝国（测试版） CN,厂商: TKG,6.8,策略,"模拟,策略,战争",122864 人安装 248817 人关注
230,仙侠第一放置·网络版,厂商: 撸娃工作室,8.3,角色扮演,"放置,修仙,挂机",206953 人安装 314871 人关注
231,人生模拟器：中国式人生（测试版）,厂商: kiwigames,4.5,模拟,"模拟,养成,文字",510139 人安装 993910 人关注
232,传说之旅（测试版）,厂商: 地心引力工作室,8.4,动作,"像素,Roguelike,单机",554729 人安装 463523 人关注
233,不一样传说（测试版）,厂商: 芥菜子游戏,7.6,冒险,"角色扮演,竖屏,单机",2164229 人安装 1526475 人关注
234,飞跃星球,厂商: 重庆星漫科技有限公司,4.5,模拟,"宇宙,文字游戏,TapTap独家",668489 人安装 475519 人关注
235,圣斗士星矢（腾讯） CN,厂商: 腾讯,6.2,角色扮演,"回合制,圣斗士,卡牌",1946163 人安装 1135302 人关注
236,凹凸世界 CN,厂商: 七创社,6.2,角色扮演,"漫改,ACG,养成",729706 人安装 571594 人关注
237,永不言弃！！,厂商: 东品游戏,7.1,音乐,"虐心,手残,节奏",2983821 人安装 1431623 人关注
238,战争艺术 CN,厂商: 朝夕光年,6.7,策略,"高画质,Steam移植,战争",855310 人安装 477346 人关注
239,大航海探险物语,厂商: 识君,8.0,模拟,"开罗,像素,联网",643815 人安装 403012 人关注
240,物种起源,厂商: 起源工作室,8.8,策略,"放置,科幻,挂机",510810 人安装 381627 人关注
241,云裳羽衣 CN,厂商: 腾讯,7.2,角色扮演,"捏脸,换装,3D",199231 人安装 144375 人关注
242,同步音律,厂商: 廊坊同步音律信息科技有限公司,9.3,音乐,"洛天依,音游,二次元",233503 人关注
243,航海王：燃烧意志,厂商: 爱九游信息技术有限公司,5.1,角色扮演,"动漫,ACG,回合制",2288140 人安装 2398432 人关注
244,口袋学院物语2,厂商: 识君,9.2,模拟,"单机,开罗,像素",1902 人关注
245,螺旋圆舞曲,厂商: 广州天梯网络科技有限公司,6.6,角色扮演,"换装,女性向,养成",213900 人安装 585932 人关注
246,女神星球,厂商: 银月网络,7.4,角色扮演,"养成,挂机,放置",1094822 人安装 1899731 人关注
247,字走三国（测试版） CN,厂商: 零图游戏,9.1,桌面和棋类,"单机,三国,文字",638282 人安装 481122 人关注
248,节奏大师,厂商: 腾讯,8.1,休闲,"音乐,音游,节奏",486510 人安装 1552541 人关注
249,末剑二（测试服）,厂商: 极光计划,9.6,冒险,"国风,武侠,单机",21554 人安装 27618 人关注
250,战歌竞技场 CN,厂商: 腾讯,5.0,策略,"自走棋,对战,竞技",136920 人安装 50605 人关注
251,地铁跑酷,厂商: 深圳市创梦天地科技有限公司,6.3,冒险,"跑酷,单机,免费",146306 人安装 499558 人关注
252,邮差骑士 CN,厂商: 嘉丰永道（北京）科技股份有限公司,7.4,角色扮演,"单机,竖屏,角色扮演",470855 人安装 424640 人关注
253,一人之下,厂商: 腾讯,4.3,动作,"动作,国漫,格斗",496534 人安装 384768 人关注
254,精灵究极进化 CN,厂商: 海南一五一十网络科技有限公司,3.4,角色扮演,"角色扮演,MMO,像素",2036322 人安装 1185030 人关注
255,奥特曼系列OL,厂商: METEK,6.3,角色扮演,"内购,回合制",135465 人关注
256,英雄杀,厂商: 腾讯,2.8,卡牌,"桌面和棋类,策略",234262 人安装 306344 人关注
257,启源女神 CN,厂商: 启源计划工作室,6.4,卡牌,"卡牌,养成,回合制",427964 人安装 443248 人关注
258,航海日记,厂商: 北京乐动卓越科技有限公司,8.9,冒险,"模拟,航海,经营",70402 人安装 90850 人关注
259,遇见,厂商: 亘游个人工作室,7.9,角色扮演,"开放世界,角色扮演,冒险",395540 人安装 362878 人关注
260,我的奶茶屋（测试版）,厂商: 睿鱼工作室,8.3,模拟,"经营,休闲,可爱",580022 人安装 658847 人关注
261,闪烁之光 CN,厂商: 诗悦网络,4.8,角色扮演,"放置,二次元,卡牌",274808 人关注
262,方舟指令 CN,厂商: 哔哩哔哩游戏,7.3,卡牌,"二次元,养成,卡牌养成",885917 人安装 469270 人关注
263,极略三国,厂商: 广州大娱信息科技有限公司,7.6,卡牌,"三国,卡牌,桌面和棋类",1285971 人安装 1142274 人关注
264,住宅梦物语,厂商: 识君,8.4,模拟,"模拟,开罗,经营",1902673 人安装 646644 人关注
265,保卫萝卜3,厂商: 飞鱼科技,6.5,策略,"塔防,策略,休闲",78783 人购买 330374 人关注
266,造梦西游OL(周年庆),厂商: 广州四三九九信息科技有限公司,5.9,角色扮演,"动作,冒险,闯关",61930 人安装 78942 人关注
267,无尽大冒险,厂商: 青瓷,7.1,策略,"放置,挂机,冒险",108604 人安装 98486 人关注
268,隐形守护者,厂商: New One Studio,9.6,角色扮演,"交互式电影,剧情,内购",201086 人安装 349148 人关注
269,英魂之刃,厂商: 福建网龙计算机网络信息技术有限公司,5.2,角色扮演,"MOBA,多人,5v5",832147 人安装 1525637 人关注
270,钢琴师 CN,厂商: 心动网络,8.6,音乐,"音游,TapTap独家,治愈",820945 人安装 502119 人关注
271,大秦帝国之帝国烽烟,厂商: 深圳欣欣互动科技有限公司,6.3,策略,"策略,战争,模拟",14535 人安装 44219 人关注
272,美食小当家,厂商: Kunpo,6.1,休闲,"经营,休闲,烹饪",396484 人安装 687149 人关注
273,星光创造营 CN,厂商: 柠檬酱游戏,8.3,模拟,"像素,养成,偶像",1123220 人安装 576715 人关注
274,一起来捉妖,厂商: 腾讯,3.3,角色扮演,"AR,随行游戏,收集",1063818 人安装 1018580 人关注
